DG,PAA LVL2,PAA LVL3,TYPE,Titre/Title,Organisation,Chercheur principal/Principal Investigator,QUESTION, Réponse/Answer,Nb, Texte/Text, Thème/Theme,FY
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,Marrow Operations Support,University of Ottawa,"Trudel, Guy",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,Marrow Operations Support,University of Ottawa,"Trudel, Guy",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,10,"March 11 2018 Odette Laneuville uOttawa (Sci-X Club: https://www.sci-x.ca/2ndrcc
March 3 2018 Odette Laneuville Carleton University (SEDS = Students for the Exploration and Development of Space)
February 4 2018 Guy Trudel  PM&R Grand Rounds, The Ottawa Hospital  ?Rehabilitation research in the Space Exploration era?
January 24 2018 Guy Trudel , Physiatry Day, The Ottawa Hospital
November 21-22 2017 Odette Laneuville presented to the Canadian Space Summit 2017, University of Ottawa
November 11 2017 Odette Laneuville presented ?Effects of Microgravity on the Body"" to the Canadian Undergraduate Conference on Healthcare (CUCOH), Queens University, Kingston, ON
June 29 2017 University of Ottawa Faculty of Medicine online newsletter  ?Medpoint? 
June 6 2017Guy Trudel University of Ottawa Faculty of Medicine ?Breathing space: MARROW study update
May 19 2017 Odette Laneuville presented MARROW to Foundation for Student Science and Technology (FSST), University of Ottawa
March 24 2017 Odette Laneuville SCINAPSE (Undergraduate Science Case Competition) http://scinapsescience.com/",,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,Vascular Echo Support,University of Waterloo,"Hughson, Richard",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,Vascular Echo Support,University of Waterloo,"Hughson, Richard",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,2,"Richard Hughson/Canadian Society for Exercise Physiology/October 2017
Richard Hughson/North American Artery/May 2017",,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,AT HOME IN SPACE (AHIS),University of British Columbia,"Johnson, Phyllis",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,AT HOME IN SPACE (AHIS),University of British Columbia,"Johnson, Phyllis",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,4,"Canadian researchers study space culture of astronauts on the ISS/Phyllis Johnson/Globe & Mail Vancouver/20 Nov 2017.
First ever study analyzing space culture underway/Phyllis Johnson/CBC News/29 Nov 2017
Space Aging and Psychology Among Experiments for Canadian Astronaut/Phyllis Johnson/Space.com/20 Dec 2017.
CBC News hour at 6 with Dan Burritt /Phyllis Johnson/29 Nov 2017",,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,AT HOME IN SPACE (AHIS),University of British Columbia,"Johnson, Phyllis",Autres,,1,Space Odyssey ? From athletes to astronauts and from orbit to the Arctic Circle/Jelena Brcic/University of Fraser Valley News/ 20/July 2017.,,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,TBone Operations Support,University of Calgary,"Boyd, Stephen",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,TBone Operations Support,University of Calgary,"Boyd, Stephen",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,1,CBC interview to present the TBone study / Steven Boyd / CBC interview / summer 2017 (date was not recorded),,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,Contrats,TBone Operations Support,University of Calgary,"Boyd, Stephen",Autres,,4,"TBone Project / Paul Hulme / Informed Consent Briefing / April 6, 2017
TBone Project / Steven Boyd / Informed Consent Briefing / July 19, 2017
TBone Project / Paul Hulme / Informed Consent Briefing / July 27, 2017
TBone Project / Steven Boyd / Informed Consent Briefing / October 5, 2017",,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,The Effect on long Duration Hypogravity  on the Perception of Self-Motion,York University,"Harris, Laurence",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Science de la vie,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,The Effect on long Duration Hypogravity  on the Perception of Self-Motion,York University,"Harris, Laurence",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,1,"The Sense of Balance in Zero Gravity / Laurence Harris / Invited talk at the Science Museum, London / January 2017",Science de la vie,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,The detrimental effects of long duration spaceflight on human wayfinding: the behavioural and neural mechanisms,University of Calgary,"Iaria, Giuseppe",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Science de la vie,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,The detrimental effects of long duration spaceflight on human wayfinding: the behavioural and neural mechanisms,University of Calgary,"Iaria, Giuseppe",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,1,"TITLE: WAYFINDING: THE BEHAVIOURAL AND NEUROLOGICAL EFFECTS OF SPACEFLIGHT ON ASTRONAUTS? SPATIAL ORIENTATION SKILLS.
PRESENTER: CLAYTON FORD BURLES
EVENT: 2018 NASA HUMAN RESEARCH PROGRAM INVESTIGATORS' WORKSHOP
DATE: JANUARY 22-25, 2018.",Science de la vie,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,Impact of long duration spaceflight on the human immune system,Mount Sinai Hospital,"Wang, Chen",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Non,,,Science de la vie,2017/2018
EXPL,1.2.1 - INTERNATIONAL SPACE STATION (ISS),1.2.1.2 - INTERNATIONAL SPACE STATION UTILIZATION,S&C,"The Space Environment causes acceleration of vascular aging: roles of hypogravity, nutrition and radiation",University of Waterloo,"Hughson, Richard",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Non,,,Science de la vie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,Contrats,JWST Science Support,Universit‚ de Montr‚al,"Doyon, Ren‚",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,Contrats,JWST Science Support,Universit‚ de Montr‚al,"Doyon, Ren‚",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,11,"""Detecting and Characterizing Nearby Habitable Worlds"", UofT, 7 January 2017

JWST Lunch session at the CASCA Annual Meeting (Canadian Astronomical Society) , Edmondton, May 2017

""Exoplanet Armosphere"" (strong JWST content), CRAQ Summer school, June 2017

""Exoplanet Opportunities over the Next Decade"" (strong JWST content), Kavli/IAU workshop on Global Coordination of Ground and Space Astrophysics: Future Space-Based Optical/UV/IR Telescopes, Leiden, The Netherlands, July 2017 

""Detection and Characterization of Exoplanets with the James Webb Space Telescope "", webinar for TEPS Create program, 20 Sept 2017

""Get Ready for the James Webb Space telescope"", seminar, Queen's University, 23 october 2017

""Get Ready for the James Webb Space telescope"", seminar, University of Waterloo, 25 october 2017

""Get Ready for the James Webb Space telescope"", seminar, Webinar, 15 Nov 2017

""Overview and short demos of the ""Astronomer Proposal Tool"" (APT), webinar, 22 November 2017

""Demo for using the Imaging modes of NIRCam and MIRI"", webinar, 6 December 2017

""Demo for using the Single Object Spectroscopy in long-slit (NIRSpec, MIRI) and slit-less (NIRCam, NIRISS) modes"", webinar, 20 De ce,ber 2017",,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,Contrats,JWST Science Support,Universit‚ de Montr‚al,"Doyon, Ren‚",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,8,"""Les derniŠres nouvelles sur les exoplanŠtes"", club d'astronomie amateur de Longueuil, 9 March 2017.

""Les derniŠres nouvelles sur les exoplanŠtes"", Festival d'Astronomie Populaire du Mont-M‚gantic, 6 july 2017.

""Le t‚lescope spatial James Webb: le compte … rebours est lanc‚"", conf‚rence au congrŠs de  la F‚d‚ration des Astronomes du Qu.bec, Montr‚al, 2 October 2017.

""Vers les ‚toiles, … la recherche de la vie"", conf‚rencier invit‚, Polyvalente de Thetford Mines, 24 ao–t 2017.

""A la recherche de la vie … l?ext‚rieur du systŠme solaire "", Rouyn-Noranda, 23 sept. 2017

""Vers les ‚toiles, … la recherche de la vie"", conf‚rencier invit‚, Polyvalente de Thetford Mines, 11 octobre 2017.

""L'astrophysique … l'Universit‚ de Montr‚al, UdeM portes ouvertes, 12 novembre 2017

""Le t‚lescope spatial James Webb"", Astronomie en fut, pub l'Ile Noire, Montr‚al,12 Dec. 2017",,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,Contrats,JWST Science Support,Universit‚ de Montr‚al,"Doyon, Ren‚",Autres,,6,"6 chroniques sur l'actualit‚ astronomique et l'exploration spatiale … l'‚mission  ""Entr‚e Principale"" … la t‚l‚vision de Radio-Canada

18 septembre 2018, ""Fin spectaculaire de la sonde spatiale CASSINI""

30 octobre 2017, ""Boom! D‚couverte spectaculaire d?une collision de deux ‚toiles … neutrons dans une galaxie prŠs de chez nous.""

13 novembre, ""Pluie cosmique : les ‚toiles filantes L‚onides""

27 novembre, ""Hollywood et la science fiction. Fiction ou r‚alit‚?""

16 octobre, ""Un village lunaire en 2040""

11 d‚cembre, ""l'toile ds Rois Mages""",,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA pour  UVIT,National Research Council of Canada,"Hutchings, John",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA pour  UVIT,National Research Council of Canada,"Hutchings, John",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,6,"CASCA, IIA conference, IAU symp 339, Feast symposium, Tel-Avivi UV workshop, ISRO conference",,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA pour  UVIT,National Research Council of Canada,"Hutchings, John",Autres,,3,Reports to committees,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA JWST/FGS Science Support,National Research Council of Canada,"Willott, Chris",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA JWST/FGS Science Support,National Research Council of Canada,"Willott, Chris",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,5,"The CAnadian NIRISS Unbiased Cluster Survey (CANUCS) / Chris Willott / invited talk at STScI JWST Proposal Planning Workshop, Baltimore, US / May 2017
Galaxy Evolution with NIRISS Slitless Spectroscopy / Swara Ravindranath / invited talk at AAS JWST Proposal Planning Workshop, Austin, US / June 2017
Highly multiplexed information on emission line galaxies via JWST slitless spectroscopy / Chris Willott / talk at KICC workshop: Emission Line Galaxies with MOS, Cambridge, UK / September 2017
Get ready for the James Webb Space Telescope  / Chris Willott / invited seminar, University of British Columbia / November 2017
Get ready for the James Webb Space Telescope  / Chris Willott / invited seminar, University of Victoria / December 2017",,2017/2018
